match_id,date,year_month,map,w1,w2,w3,w4,l1,l2,l3,l4,w1_or,w2_or,w3_or,w4_or,w1_nr,w2_nr,w3_nr,w4_nr,l1_or,l2_or,l3_or,l4_or,l1_nr,l2_nr,l3_nr,l4_nr,map_only
1017005,2024-08-31,2024-08,Land Nomad,bcappu,centurion12,vijay1989,sundar7238,f33d3r.raj,feedertony,darkknight7282,thiyagup,1508,1456,1072,1005,1521,1469,1085,1018,1586,1400,1351,681,1573,1387,1338,668,Land Nomad
1016996,2024-08-31,2024-08,African Clearing,bcappu,typo,vijay1989,sundar7238,centurion12,feedertony,Gajini,thiyagup,1493,1127,1057,990,1508,1142,1072,1005,1471,1415,1117,696,1456,1400,1102,681,African Clearing
1016605,2024-08-30,2024-08,Land Nomad,Thiru,xpm0083,typo,vijay1989,thelivi,centurion12,arunaoe,Gajini,2012,1294,1115,1045,2024,1306,1127,1057,1587,1483,1217,1129,1575,1471,1205,1117,Land Nomad
1016583,2024-08-30,2024-08,African Clearing,mikecbe,centurion12,Gajini,zaszrespawned,Thiru,thelivi,xpm0083,,1707,1471,1117,0,1719,1483,1129,0,1643,2024,1599,0,1631,2012,1587,0,African Clearing
1016558,2024-08-30,2024-08,Land Nomad,Thiru,mikecbe,arunaoe,zaszrespawned,thelivi,centurion12,xpm0083,Gajini,2013,1696,1206,692,2024,1707,1217,717,1610,1482,1317,1128,1599,1471,1306,1117,Land Nomad
1016548,2024-08-30,2024-08,African Clearing,mikecbe,centurion12,arunaoe,vijay1989,thelivi,aravind2705,feedertony,zaszrespawned,1684,1470,1194,1033,1696,1482,1206,1045,1622,1576,1427,721,1610,1564,1415,692,African Clearing
1016529,2024-08-30,2024-08,Land Nomad,Thiru,mikecbe,feedertony,thiyagup,thelivi,aravind2705,centurion12,vijay1989,1999,1670,1413,682,2013,1684,1427,696,1636,1590,1484,1047,1622,1576,1470,1033,Land Nomad
1016510,2024-08-30,2024-08,African Clearing,Thiru,centurion12,arunaoe,zaszrespawned,mikecbe,feedertony,Gajini,vijay1989,1986,1471,1181,689,1999,1484,1194,721,1683,1426,1141,1060,1670,1413,1128,1047,African Clearing
1013791,2024-08-25,2024-08,Land Nomad,f33d3r.raj,centurion12,xpm0083,sundar7238,Thiru,feedertony,Gajini,zaszrespawned,1572,1457,1303,976,1586,1471,1317,990,2000,1440,1155,725,1986,1426,1141,689,Land Nomad
1013774,2024-08-25,2024-08,African Clearing,f33d3r.raj,feedertony,zaszrespawned,,centurion12,Gajini,sundar7238,,1559,1427,685,0,1572,1440,725,0,1470,1168,989,0,1457,1155,976,0,African Clearing
1013711,2024-08-25,2024-08,Land Nomad,f33d3r.raj,bcappu,feedertony,sundar7238,mikecbe,aravind2705,darkknight7282,zaszrespawned,1547,1481,1415,977,1559,1493,1427,989,1695,1602,1363,725,1683,1590,1351,685,Land Nomad
1013707,2024-08-25,2024-08,African Clearing,f33d3r.raj,bcappu,centurion12,sundar7238,mikecbe,aravind2705,xpm0083,zaszrespawned,1534,1468,1457,964,1547,1481,1470,977,1708,1615,1316,771,1695,1602,1303,725,African Clearing
1013685,2024-08-25,2024-08,Land Nomad,aravind2705,f33d3r.raj,darkknight7282,sundar7238,mikecbe,centurion12,feedertony,zaszrespawned,1602,1521,1350,951,1615,1534,1363,964,1721,1470,1428,825,1708,1457,1415,771,Land Nomad
1013673,2024-08-25,2024-08,African Clearing,feedertony,darkknight7282,xpm0083,Gajini,mikecbe,bcappu,vijay1989,ninjavarier,1414,1336,1302,1154,1428,1350,1316,1168,1735,1482,1074,924,1721,1468,1060,910,African Clearing
1013643,2024-08-25,2024-08,Land Nomad,mikecbe,aravind2705,Gajini,zaszrespawned,centurion12,feedertony,darkknight7282,sundar7238,1722,1589,1141,766,1735,1602,1154,825,1483,1427,1349,964,1470,1414,1336,951,Land Nomad
1013620,2024-08-25,2024-08,African Clearing,mikecbe,centurion12,zaszrespawned,,feedertony,darkknight7282,Gajini,,1703,1464,660,0,1722,1483,766,0,1446,1368,1160,0,1427,1349,1141,0,African Clearing
1013603,2024-08-25,2024-08,Land Nomad,centurion12,darkknight7282,Gajini,,mikecbe,feedertony,zaszrespawned,,1451,1355,1147,0,1464,1368,1160,0,1716,1459,750,0,1703,1446,660,0,Land Nomad
1013580,2024-08-25,2024-08,African Clearing,feedertony,centurion12,,,mikecbe,Gajini,,,1437,1429,0,0,1459,1451,0,0,1738,1169,0,0,1716,1147,0,0,African Clearing
1013044,2024-08-24,2024-08,Land Nomad,f33d3r.raj,feedertony,arunaoe,ninjavarier,bcappu,centurion12,vijay1989,sundar7238,1507,1423,1167,910,1521,1437,1181,924,1496,1443,1088,978,1482,1429,1074,964,Land Nomad
1013021,2024-08-24,2024-08,African Clearing,rcbfan009,f33d3r.raj,vijay1989,sundar7238,bcappu,centurion12,feedertony,ninjavarier,1807,1494,1075,965,1820,1507,1088,978,1509,1456,1436,923,1496,1443,1423,910,African Clearing
1012514,2024-08-23,2024-08,Land Nomad,thelivi,bcappu,vijay1989,,mikecbe,Gajini,arunaoe,,1623,1496,1062,0,1636,1509,1075,0,1751,1182,1180,0,1738,1169,1167,0,Land Nomad
1012492,2024-08-23,2024-08,African Clearing,mikecbe,Gajini,arunaoe,,thelivi,bcappu,vijay1989,,1725,1156,1154,0,1751,1182,1180,0,1649,1522,1088,0,1623,1496,1062,0,African Clearing
1009358,2024-08-18,2024-08,Land Nomad,aravind2705,feedertony,Gajini,,bcappu,centurion12,typo,,1573,1420,1140,0,1589,1436,1156,0,1538,1472,1131,0,1522,1456,1115,0,Land Nomad
1009355,2024-08-18,2024-08,African Clearing,bcappu,feedertony,Gajini,,aravind2705,centurion12,stylishsteam,,1520,1402,1122,0,1538,1420,1140,0,1591,1490,1022,0,1573,1472,1004,0,African Clearing
1009336,2024-08-18,2024-08,Land Nomad,centurion12,feedertony,darkknight7282,Gajini,thelivi,bcappu,vijay1989,stylishsteam,1476,1388,1341,1108,1490,1402,1355,1122,1663,1534,1102,1036,1649,1520,1088,1022,Land Nomad
1009301,2024-08-18,2024-08,African Clearing,centurion12,feedertony,arunaoe,,bcappu,darkknight7282,Gajini,,1457,1369,1135,0,1476,1388,1154,0,1553,1360,1127,0,1534,1341,1108,0,African Clearing
1009284,2024-08-18,2024-08,Land Nomad,aravind2705,centurion12,feedertony,arunaoe,thelivi,bcappu,Gajini,vijay1989,1577,1443,1355,1121,1591,1457,1369,1135,1677,1567,1141,1116,1663,1553,1127,1102,Land Nomad
1008880,2024-08-17,2024-08,African Clearing,thelivi,vijay1989,,,aravind2705,centurion12,,,1627,1066,0,0,1677,1116,0,0,1627,1493,0,0,1577,1443,0,0,African Clearing
1008814,2024-08-17,2024-08,Land Nomad,Thiru,centurion12,feedertony,,bcappu,Gajini,vijay1989,ninjavarier,1987,1480,1342,0,2000,1493,1355,0,1580,1154,1079,0,1567,1141,1066,0,Land Nomad
1008801,2024-08-17,2024-08,African Clearing,Thiru,feedertony,ninjavarier,,bcappu,centurion12,Gajini,,1969,1324,918,0,1987,1342,936,0,1598,1498,1172,0,1580,1480,1154,0,African Clearing
1007562,2024-08-15,2024-08,Land Nomad,Thiru,bcappu,xpm0083,Gajini,mikecbe,thelivi,centurion12,vijay1989,1955,1584,1288,1158,1969,1598,1302,1172,1739,1641,1512,1093,1725,1627,1498,1079,Land Nomad
1007547,2024-08-15,2024-08,African Clearing,mikecbe,thelivi,centurion12,Gajini,Thiru,bcappu,xpm0083,vijay1989,1726,1628,1499,1145,1739,1641,1512,1158,1968,1597,1301,1106,1955,1584,1288,1093,African Clearing
1007518,2024-08-15,2024-08,Land Nomad,thelivi,aravind2705,bcappu,ninjavarier,Thiru,centurion12,Gajini,vijay1989,1612,1611,1581,902,1628,1627,1597,918,1984,1515,1161,1122,1968,1499,1145,1106,Land Nomad
1007471,2024-08-15,2024-08,African Clearing,Thiru,feedertony,vijay1989,,bcappu,centurion12,Gajini,,1972,1312,1110,0,1984,1324,1122,0,1593,1527,1173,0,1581,1515,1161,0,African Clearing
