match_id,date,map,team_a_players,team_b_players,queue
1133364,2025-02-22,Land Nomad,"[354904864066764804, 695309066771365970, 739435983707308062, 581434797117669386]","[573073267766722561, 828672992976437267, 555011931488911374, 715923016412037221]",4v4
1133345,2025-02-22,Land Nomad,"[509251341105889280, 739435983707308062, 695276693362835466, 555011931488911374]","[354904864066764804, 695309066771365970, 511604233267707925, 828672992976437267]",4v4
1133325,2025-02-22,Land Nomad,"[695309066771365970, 739435983707308062, 828672992976437267, 354990093980663809]","[509251341105889280, 354904864066764804, 715923016412037221, 581434797117669386]",4v4
1133304,2025-02-22,Land Nomad,"[354904864066764804, 739435983707308062, 511604233267707925, 715923016412037221]","[509251341105889280, 695276693362835466, 354990093980663809, 555011931488911374]",4v4
1133290,2025-02-22,Land Nomad,"[354904864066764804, 828672992976437267, 581434797117669386]","[739435983707308062, 695276693362835466, 715923016412037221]",4v4
1133269,2025-02-22,Land Nomad,"[695309066771365970, 511604233267707925, 715923016412037221]","[354904864066764804, 695276693362835466, 581434797117669386]",4v4
1133214,2025-02-22,Land Nomad,"[509251341105889280, 695276693362835466, 354990093980663809, 555011931488911374]","[695309066771365970, 1104364176668905622, 511604233267707925, 715923016412037221]",4v4
1133210,2025-02-22,Land Nomad,"[509251341105889280, 511604233267707925, 715923016412037221]","[695309066771365970, 695276693362835466, 354990093980663809]",4v4
1133191,2025-02-22,Land Nomad,"[509251341105889280, 622810653878648873, 354990093980663809, 1093481859607957514]","[695276693362835466, 511604233267707925, 828672992976437267, 715923016412037221]",4v4
1133165,2025-02-22,Land Nomad,"[509251341105889280, 622810653878648873, 715923016412037221, 1093481859607957514]","[695276693362835466, 511604233267707925, 828672992976437267, 354990093980663809]",4v4
1133163,2025-02-22,Land Nomad,"[511604233267707925, 828672992976437267, 715923016412037221]","[622810653878648873, 695276693362835466, 1093481859607957514]",4v4
1133161,2025-02-22,Land Nomad,"[828672992976437267, 715923016412037221, 581434797117669386]","[695276693362835466, 511604233267707925, 1093481859607957514]",4v4
1133124,2025-02-22,Land Nomad,"[354904864066764804, 695309066771365970, 695276693362835466, 828672992976437267]","[573073267766722561, 1104364176668905622, 622810653878648873, 354990093980663809]",4v4
1133115,2025-02-22,Land Nomad,"[354904864066764804, 695309066771365970, 1104364176668905622, 622810653878648873]","[573073267766722561, 509251341105889280, 511604233267707925, 715923016412037221]",4v4
1133101,2025-02-22,Land Nomad,"[509251341105889280, 622810653878648873, 511604233267707925, 828672992976437267]","[573073267766722561, 354904864066764804, 354990093980663809, 715923016412037221]",4v4
1133080,2025-02-22,Land Nomad,"[573073267766722561, 739435983707308062, 1024061084233125888, 1010781418458206329]","[509251341105889280, 354904864066764804, 828672992976437267, 354990093980663809]",4v4
1133079,2025-02-22,Land Nomad,"[573073267766722561, 1104364176668905622, 511604233267707925, 1010781418458206329]","[509251341105889280, 354904864066764804, 739435983707308062, 354990093980663809]",4v4
1133072,2025-02-22,Land Nomad,"[1024061084233125888, 354990093980663809, 1010781418458206329]","[739435983707308062, 828672992976437267, 581434797117669386]",4v4
1133071,2025-02-22,Land Nomad,"[509251341105889280, 511604233267707925, 354990093980663809, 581434797117669386]","[739435983707308062, 1024061084233125888, 828672992976437267, 1010781418458206329]",4v4
1133062,2025-02-22,Land Nomad,"[509251341105889280, 739435983707308062, 1024061084233125888, 354990093980663809]","[573073267766722561, 511604233267707925, 828672992976437267, 1010781418458206329]",4v4
1132691,2025-02-21,Land Nomad,"[509251341105889280, 1033770965127135333, 555011931488911374, 1010781418458206329]","[695309066771365970, 1024061084233125888, 511604233267707925, 828672992976437267]",4v4
1132673,2025-02-21,Land Nomad,"[509251341105889280, 511604233267707925, 828672992976437267, 1010781418458206329]","[695309066771365970, 328978193312776212, 1024061084233125888, 555011931488911374]",4v4
1132653,2025-02-21,Land Nomad,"[573073267766722561, 695309066771365970, 828672992976437267, 715923016412037221]","[509251341105889280, 1033770965127135333, 511604233267707925, 555011931488911374]",4v4
1132623,2025-02-21,Land Nomad,"[511604233267707925, 1024061084233125888, 828672992976437267, 715923016412037221]","[573073267766722561, 1010781418458206329, 354990093980663809, 555011931488911374]",4v4
