match_id,date,map,team_a_players,team_b_players
853911,2024-02-05,Arabia,"[573073267766722561, 410863622139412482, 697862073173934161, 714793302582362162]","[714677532665839667, 317357930796023828, 401748724021329920, 754608550721880144]"
853876,2024-02-05,Rage Forest (Random Civs),"[317357930796023828, 410863622139412482, 849334461773774928, 463259002596360203]","[703469910138814515, 635025856313557033, 401748724021329920, 715438374357434401]"
853855,2024-02-05,Mega Random (Random Civs),"[410863622139412482, 703469910138814515, 401748724021329920, 714793302582362162]","[573073267766722561, 714677532665839667, 723567999784583239, 463259002596360203]"
853833,2024-02-05,Haboob (Random Civs),"[410863622139412482, 635025856313557033, 849334461773774928, 401748724021329920]","[714677532665839667, 703469910138814515, 439339450770653185, 714793302582362162]"
853802,2024-02-05,Runestones( Random Civs),"[657452537506562069, 695309066771365970, 401748724021329920, 584450667897290784]","[440386346314498093, 573073267766722561, 723567999784583239, 463259002596360203]"
853750,2024-02-05,4 lakes (Random civs),"[635025856313557033, 723567999784583239, 715438374357434401, 714793302582362162]","[440357833255682058, 849334461773774928, 584450667897290784, 463259002596360203]"
853081,2024-02-04,Arena (Random civs),"[716142389902704691, 317357930796023828, 715438374357434401, 714793302582362162]","[573073267766722561, 542430914836168744, 849334461773774928, 723567999784583239]"
853045,2024-02-04,Nomad (Random Civs),"[716142389902704691, 573073267766722561, 715438374357434401, 714793302582362162]","[317357930796023828, 542430914836168744, 849334461773774928, 723567999784583239]"
853040,2024-02-04,Arabia,"[573073267766722561, 542430914836168744, 849334461773774928, 697860695550722089]","[716142389902704691, 723567999784583239, 715438374357434401, 714793302582362162]"
853034,2024-02-04,Land Madness,"[317357930796023828, 849334461773774928, 715438374357434401, 714793302582362162]","[716142389902704691, 542430914836168744, 723567999784583239, 767743114575085628]"
853001,2024-02-04,African Clearing (Random Civs),"[716142389902704691, 290027208846868482, 714793302582362162, 697860695550722089]","[573073267766722561, 317357930796023828, 723567999784583239, 767743114575085628]"
852970,2024-02-04,Beduoins (Random Civs),"[290027208846868482, 317357930796023828, 703469910138814515, 714793302582362162]","[657452537506562069, 573073267766722561, 439339450770653185, 697860695550722089]"
852933,2024-02-04,Kawasan (Random Civs),"[703469910138814515, 695309066771365970, 714793302582362162, 767743114575085628]","[573073267766722561, 439339450770653185, 711266082043854870, 697860695550722089]"
852888,2024-02-04,Oasis(Random Civs),"[703469910138814515, 304272299534581762, 715438374357434401, 463259002596360203]","[439339450770653185, 635033349206966277, 695309066771365970, 711266082043854870]"
852855,2024-02-04,Enclosed- Random Civs,"[573073267766722561, 304272299534581762, 695309066771365970, 945283728643608619]","[714677532665839667, 439339450770653185, 635033349206966277, 697860695550722089]"
852830,2024-02-04,Migration (Random Civs),"[495896198444613643, 703469910138814515, 512487301717295104, 714793302582362162]","[314461722817593345, 223875529600663552, 715438374357434401, 711266082043854870]"
852789,2024-02-04,Rage Forest (Random Civs),"[313042064332029952, 695309066771365970, 635033349206966277, 697860695550722089]","[635025856313557033, 766331860803780629, 723567999784583239, 584239778740961299]"
852753,2024-02-04,Hideout(Random Civs),"[313042064332029952, 223875529600663552, 714793302582362162, 715438374357434401]","[703469910138814515, 849334461773774928, 512487301717295104, 584450667897290784]"
852714,2024-02-04,Land Nomad (Random Civs),"[703469910138814515, 635025856313557033, 223875529600663552, 394425164231868416]","[313042064332029952, 317357930796023828, 512487301717295104, 584450667897290784]"
852681,2024-02-04,Arena (Random civs),"[495896198444613643, 849334461773774928, 695309066771365970, 714793302582362162]","[313042064332029952, 317357930796023828, 304272299534581762, 584450667897290784]"
852672,2024-02-04,Regicide Fortress (Random Civs),"[313042064332029952, 317357930796023828, 304272299534581762, 584450667897290784]","[495896198444613643, 849334461773774928, 394425164231868416, 714793302582362162]"
852636,2024-02-04,Runestones( Random Civs),"[223875529600663552, 394425164231868416, 433305993867165706, 584450667897290784]","[317357930796023828, 512487301717295104, 584239778740961299, 767743114575085628]"
