match_id,date,map,team_a_players,team_b_players
1087728,2024-12-16,Golden Lakes (Random Civs),"[238042803093897216, 317357930796023828, 759153260136366131, 1291708538573291523]","[695309066771365970, 697862073173934161, 635025856313557033, 631896735337152525]"
1087206,2024-12-15,Enclosed- Random Civs,"[512487301717295104, 635025856313557033, 463259002596360203, 715438374357434401]","[695309066771365970, 631896735337152525, 714793302582362162, 767743114575085628]"
1087181,2024-12-15,Arabia,"[695309066771365970, 635025856313557033, 714793302582362162, 584450667897290784]","[464205461407924225, 631896735337152525, 463259002596360203, 715438374357434401]"
1087082,2024-12-15,Land Nomad (Random Civs),"[725758030221934692, 631896735337152525, 714793302582362162, 945283728643608619]","[699611550423711766, 703469910138814515, 503759402206101545, 697860695550722089]"
1087060,2024-12-15,Arena Island (NC Zone) (Random Civs),"[703469910138814515, 697862073173934161, 715438374357434401, 697860695550722089]","[635025856313557033, 700792986937589781, 503759402206101545, 635033349206966277]"
1087060,2024-12-15,Arena Island (NC Zone) (Random Civs),"[703469910138814515, 697862073173934161, 715438374357434401, 697860695550722089]","[512487301717295104, 700792986937589781, 503759402206101545, 635033349206966277]"
1087042,2024-12-15,Rage Forest (Random Civs),"[635025856313557033, 754608550721880144, 714793302582362162, 635033349206966277]","[811413902176419860, 512487301717295104, 631896735337152525, 321600706769584128]"
1087024,2024-12-15,Runestones( Random Civs),"[512487301717295104, 394425164231868416, 631896735337152525, 714793302582362162]","[401748724021329920, 725758030221934692, 697862073173934161, 635033349206966277]"
1087007,2024-12-15,Golden Pit,"[703469910138814515, 401748724021329920, 635033349206966277, 697860695550722089]","[697862073173934161, 394425164231868416, 714793302582362162, 321600706769584128]"
1086983,2024-12-15,African Clearing (Random Civs),"[635025856313557033, 512487301717295104, 635033349206966277, 697860695550722089]","[401748724021329920, 394425164231868416, 584239778740961299, 321600706769584128]"
1086963,2024-12-15,Mega Random (Random Civs),"[401748724021329920, 725758030221934692, 635025856313557033, 635033349206966277]","[386965257660399619, 512487301717295104, 394425164231868416, 321600706769584128]"
1086940,2024-12-15,Valley,"[635025856313557033, 394425164231868416, 698943503509618729, 584239778740961299]","[317357930796023828, 401748724021329920, 715438374357434401, 321600706769584128]"
1086915,2024-12-15,Nomad (Random Civs),"[401748724021329920, 635025856313557033, 503759402206101545, 321600706769584128]","[512487301717295104, 394425164231868416, 446632506934951938, 715438374357434401]"
1086894,2024-12-15,Ghost Lake,"[699611550423711766, 635025856313557033, 1291708538573291523, 715438374357434401]","[401748724021329920, 512487301717295104, 394425164231868416, 321600706769584128]"
1086887,2024-12-15,Migration (Random Civs),"[401748724021329920, 394425164231868416, 503759402206101545, 321600706769584128]","[635025856313557033, 512487301717295104, 1291708538573291523, 584239778740961299]"
1086884,2024-12-15,Hideout(Random Civs),"[512487301717295104, 394425164231868416, 714793302582362162, 503759402206101545]","[699611550423711766, 401748724021329920, 584450667897290784, 715438374357434401]"
1086860,2024-12-15,Kawasan (Random Civs),"[401748724021329920, 754608550721880144, 394425164231868416, 715438374357434401]","[699611550423711766, 512487301717295104, 584450667897290784, 503759402206101545]"
1086848,2024-12-15,Team Acropolis (Random Civs),"[699611550423711766, 754608550721880144, 394425164231868416, 635033349206966277]","[725758030221934692, 635025856313557033, 584450667897290784, 503759402206101545]"
1086837,2024-12-15,Steppe (Random Civs),"[1286707470802227285, 725758030221934692, 635025856313557033, 584450667897290784]","[386965257660399619, 754608550721880144, 394425164231868416, 503759402206101545]"
1086636,2024-12-14,Oasis(Random Civs),"[692780064106086420, 1286707470802227285, 631896735337152525, 715438374357434401]","[386965257660399619, 470492953983582219, 542430914836168744, 321600706769584128]"
1086627,2024-12-14,Oasis(Random Civs),"[1286707470802227285, 470492953983582219, 463259002596360203, 715438374357434401]","[386965257660399619, 542430914836168744, 229635376212475904, 321600706769584128]"
1086602,2024-12-14,Regicide Fortress (Random Civs),"[1286707470802227285, 542430914836168744, 229635376212475904, 697860695550722089]","[386965257660399619, 463259002596360203, 584450667897290784, 321600706769584128]"
1086596,2024-12-14,Regicide Fortress (Random Civs),"[1286707470802227285, 542430914836168744, 229635376212475904, 697860695550722089]","[386965257660399619, 463259002596360203, 584450667897290784, 321600706769584128]"
1086570,2024-12-14,Arena (Random civs),"[631896735337152525, 229635376212475904, 463259002596360203, 584450667897290784]","[386965257660399619, 512487301717295104, 321600706769584128, 697860695550722089]"
1086567,2024-12-14,Arena (Random civs),"[512487301717295104, 631896735337152525, 229635376212475904, 463259002596360203]","[386965257660399619, 470492953983582219, 321600706769584128, 697860695550722089]"
1086559,2024-12-14,Mega Random (Random Civs),"[692780064106086420, 512487301717295104, 463259002596360203, 321600706769584128]","[386965257660399619, 631896735337152525, 584450667897290784, 697860695550722089]"
